teamname,radverma
commit used,eb61e02d01b1f504f703477b3393207ac4967b61
commit date,2021-02-12 01:48:20
test_question1_case1_points,10
test_question1_case1_status,passed
test_question1_case2_points,10
test_question1_case2_status,passed
test_question1_case3_points,7.5
test_question1_case3_status,passed
test_question1_case4_points,7.5
test_question1_case4_status,passed
test_question1_case5_points,7.5
test_question1_case5_status,passed
test_question1_case6_points,7.5
test_question1_case6_status,passed
test_question2_case1_points,10
test_question2_case1_status,passed
test_question2_case2_points,10
test_question2_case2_status,passed
test_question2_case3_points,7.5
test_question2_case3_status,passed
test_question2_case4_points,7.5
test_question2_case4_status,passed
test_question2_case5_points,7.5
test_question2_case5_status,passed
test_question2_case6_points,7.5
test_question2_case6_status,passed
Total,100.0
Late Penalty,0
Total Autograding,100.0
